,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS27,0.0004925431289823689,0.0005537757430145217,0.0007680693102802407,0.00045061952936780087,0.0009577980888414885,0.003563517366649257,0.0005169529848460023,0.000409937580121064,0.0010719356469816486,0.0012619076585353322,0.001119867392278139,0.0005188557629411036
SBS28,0.00039348268612989694,0.0008305440525432182,0.00041138222953870544,0.00047082657739506886,0.0009591098636384808,0.15530413835247392,0.0006973631665282784,0.0009148682990769015,0.0007898612249107257,0.0013527999481826398,0.0006941040755405792,0.0004190214887174429
SBS29,0.0004802663582531223,0.00042610692265357473,0.001721308358041463,0.0010209116032080302,0.0013022011925695625,0.0016214109058776953,0.004141370320910627,0.002518774226903016,0.001068569432328447,0.003690775987415657,0.0011150073037100132,0.00041775435817327646
SBS30,0.00037622433142893815,0.0004180045477913425,0.0006491176381218085,0.00034883533947173856,0.0008220545583391326,0.0037363447047907452,0.0004270545555572763,0.00027304863755113636,0.0009173748730493329,0.000977881110671499,0.0009083955157423748,0.0004316718270752102
SBS31,0.00039517704104621057,0.0004728553382493284,0.000747946126354924,0.00040576020180860175,0.0009166708909574012,0.0036261761439444215,0.00046619287769647397,0.0003326148402634137,0.0009608236827290043,0.0011455653236595224,0.0009678959675516666,0.0004664691742980089
SBS32,0.00037882968860184125,0.00043683077220846685,0.0006616040556075022,0.0003739033634359254,0.0008672588717783551,0.00375273333965453,0.00043668297224359697,0.0002950067608576269,0.0009160953854078449,0.0010586304141716903,0.0010702978002265085,0.00042933344931611535
SBS33,0.0004138631972745912,0.0004950147771060287,0.0005892074735082034,0.0004018056989584906,0.0008597112882379186,0.0036697852008629084,0.0004733396644999065,0.0003482883957015289,0.0010569182231744214,0.0011811815646622546,0.0007996348842468483,0.0004540641435886033
SBS34,0.0004977247059678071,0.0005771481580127529,0.0007565594703845624,0.00045559803725293157,0.0009637080513437046,0.0037055721099842247,0.0005147160261621806,0.0004141383586697711,0.000986376217943359,0.001254563849310726,0.00104195463502918,0.0005117640492254146
SBS35,0.00041463963636987516,0.0004813492639605916,0.0008518785887046746,0.0005069915825855543,0.0009940969477316855,0.0029830405049338176,0.0005952078964854722,0.000441365451412859,0.0010798550840272236,0.0014198706449499916,0.0010912078830696429,0.0004846984720935371
SBS36,0.00038671408079563605,0.0005234219528370892,0.001611183205538913,0.00041832451716832957,0.0011519626584285574,0.003578513466472437,0.0005300811504957953,0.0005913115611823604,0.0009976848279141617,0.001380031647574079,0.0009268334252377201,0.0006686724303326234
SBS37,0.00041245750578329537,0.0005206395856152316,0.0006603772380480924,0.00041768736457464963,0.0009563910529127672,0.004581999592074595,0.0004642763716879072,0.0003963091695319307,0.000819595310107095,0.0011799416408320856,0.0009027708649372603,0.00048700885596339856
SBS38,0.00048429332694890356,0.0005182553690039895,0.0007628340497757483,0.0004668475769581177,0.0010766371552352264,0.003507038631140273,0.000576356557154952,0.0005038841297860587,0.0011637311449230598,0.0013958094574516185,0.0009692392417953511,0.0005942993010936209
SBS39,0.00035713240759674224,0.0004290425780975789,0.0009141244614944438,0.0004656744309704689,0.001023059281728951,0.004193676738295519,0.00047212782531232914,0.00036696425954798077,0.000938835656999053,0.0012250286830402194,0.0007803163603402074,0.0005039008976280604
SBS40a,0.00040108915747343336,0.0004727232389115974,0.0006835939201632752,0.0003920279093156508,0.0008717244457344181,0.00370709833038877,0.00045419905138329635,0.0003277934154199845,0.0009393484822285482,0.0011252983554387965,0.0009131666713153608,0.0004499542841672245
