,3'Flank,3'UTR,5'Flank,5'UTR,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site
SBS60,0.046507112034503015,0.050271797155749164,0.06510628178816268,0.04144956767296535,0.09344424330088855,0.19874325006134758,0.09234913934388593,0.041516209295691366,0.05851372136778597,0.1651600236314722,0.0958198009535543,0.05111885339399403
SBS84,0.0003823418937460102,0.0005419273056086673,0.0035451370606710904,0.9843285726327694,0.0017414723453184095,0.0025974989292608694,0.0010751901022558767,0.00046290052124803966,0.0005895621814376943,0.002444207910637286,0.0012390254076667957,0.0010521637093799377
SBS85,0.04512110957287707,0.049114201971740795,0.06426673236506832,0.04009901386177305,0.09585026727618487,0.20152444001801162,0.09082398926136363,0.040882903652160664,0.05630792185000044,0.1706567931394251,0.09343007684088048,0.05192255019051399
SBS86,0.03483024892637713,0.03655686753238412,0.05670175310190751,0.03256752165004998,0.10322468841112553,0.2112717295789485,0.06272172221893246,0.0418978364129375,0.044753547280332984,0.1899037096094508,0.14346860476060327,0.04210177051695024
SBS87,0.03953820615579813,0.04210400272371724,0.07369226062614764,0.03743630958345135,0.08995600768483372,0.21812015703411583,0.09142088010558286,0.033546314667967696,0.0537052167105627,0.1808843772850781,0.09810654193037517,0.04148972549236965
SBS88,0.04441535141385958,0.04912506883790232,0.06275999066107604,0.0396987100156929,0.09766796533660682,0.20546045137837501,0.09104581515203386,0.03948715520611939,0.055019476669050785,0.17334984387717317,0.09075395232636752,0.05121621912574269
SBS89,0.042483209613777516,0.045978830751986124,0.06348128630512609,0.03947266436862074,0.08790921212075188,0.20629123489484658,0.0872794436744253,0.0428308100477279,0.05308623678861264,0.17551841595270148,0.10134329151578945,0.05432536396563429
SBS90,0.04743839079100288,0.05049058439924865,0.06561189922129583,0.04156401782789098,0.09569139072606817,0.1962831419886915,0.09423894690388442,0.04314081999458397,0.05807946577884641,0.16454491421956338,0.09232708900649625,0.05058933914242771
SBS91,0.04313567905091904,0.047557255211842724,0.06274435058237811,0.04074377246380389,0.0855015943564632,0.20261138431354092,0.1093598524860679,0.04493667647189623,0.05548162641286813,0.1611730882382862,0.0902917008098485,0.0564630196020853
SBS92,0.042773814009663874,0.04668117738762201,0.0635566428333481,0.03951208897521975,0.08810370054636164,0.2061627444148225,0.08979782297265225,0.040979429178932256,0.05399492330134026,0.1768799913733183,0.0953315456205159,0.05622611938620305
SBS93,0.04285023526764003,0.04774549475373548,0.06550612409951236,0.03988989040636108,0.0982498070876718,0.20268749677329523,0.09160195693011348,0.042657096792540636,0.055128046824846615,0.1721023383902688,0.09155918652258693,0.050022326151427425
SBS94,0.0426851889131152,0.046752457290701654,0.06430369595935255,0.04040737336950086,0.08590608736322827,0.20931588285441272,0.08816602136787392,0.04172639289540791,0.053383849436484755,0.1732847529389916,0.09972992327597234,0.05433837433495818
SBS95,0.042049494236527395,0.04612633727966406,0.06485093990573602,0.04162895976762918,0.07245658734410378,0.21469310280844583,0.09322880805406075,0.04255732402681188,0.05016919194151553,0.17114317365565182,0.10091165494617979,0.0601844260336739
SBS96,0.03824879103145571,0.04642262820562189,0.06436882266837365,0.04007381809855113,0.09648498133431899,0.20525594137941078,0.09280966203209139,0.04765183301697442,0.052789193961841445,0.17763552139997346,0.08879057801342921,0.0494682288579581
SBS97,0.029594976059538064,0.03021029711379713,0.05152070275392332,0.027685971270245743,0.06284838904259007,0.18168688964619034,0.07718865726263954,0.02308838825551583,0.038015758141357374,0.35789334171942266,0.06625002184199592,0.05401660689278402
SBS98,0.037449587945454554,0.03884174224294698,0.07819877079107845,0.042167033720272674,0.06321093648376652,0.24273855879017028,0.07731827398380064,0.04498717768379734,0.045851338124437924,0.18841618323914966,0.09084484370692425,0.049975553288200844
